Вакансия,Ссылка на вакансию,Указанная зарплата
Senior data scientist,https://spb.superjob.ru/vakansii/senior-data-scientist-46668124.html,300000
Аналитик,https://dmitrov.superjob.ru/vakansii/analitik-45733206.html,150000
Инженер-программист встраиваемых систем,https://dolgoprudniy.superjob.ru/vakansii/inzhener-programmist-vstraivaemyh-sistem-45842844.html,100000
Аналитик информационной безопасности SOC L2 Middle soc analyst L2,https://www.superjob.ru/vakansii/analitik-informacionnoj-bezopasnosti-soc-l2-middle-soc-analyst-l2-46547022.html,100000
Junior backend-разработчик,https://hh.ru/vacancy/82464341,90000
Учитель информатики и робототехники,https://www.superjob.ru/vakansii/uchitel-informatiki-i-robototehniki-39720503.html,80000
Системный администратор,https://spb.superjob.ru/vakansii/sistemnyj-administrator-46664658.html,70000
Junior Python - Developer,https://hh.ru/vacancy/82585620,60000
HTML-верстальщик,https://hh.ru/vacancy/82666786,60000
Программист,https://kolomna.superjob.ru/vakansii/programmist-45594068.html,60000
Преподаватель Информатика и вычислительная техника,https://spb.superjob.ru/vakansii/prepodavatel-informatika-i-vychislitelnaya-tehnika-43877938.html,60000
Junior разработчик Python/Стажер,https://hh.ru/vacancy/81549878,50000
Программист Python Junior (BigData),https://hh.ru/vacancy/82524858,45000
Стажер-разработчик,https://hh.ru/vacancy/82631531,40000
Менеджер по работе с клиентами,https://perm.superjob.ru/vakansii/menedzher-po-rabote-s-klientami-44458424.html,35000
Начинающий программист (стажер),https://hh.ru/vacancy/82868479,30000
Стажер Web Программист в отдел разработки Интернет-Магазинов,https://hh.ru/vacancy/82197901,30000
Педагог дополнительного образования (программирование),https://spb.superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-45716514.html,30000
"Преподаватель робототехники, LEGO-конструирование, Arduino, виртуальная реальность, коптеры",https://spb.superjob.ru/vakansii/prepodavatel-robototehniki-37424126.html,30000
Старший преподаватель (кафедра математики и прикладных информационных технологий),https://tyumen.superjob.ru/vakansii/starshij-prepodavatel-46550402.html,25500
Инженер/Программист микроконтроллеров (стажер),https://ekaterinburg.superjob.ru/vakansii/inzhener-46664652.html,19500
Специалист службы поддержки с техническими знаниями (Браузер),https://shahty.superjob.ru/vakansii/specialist-sluzhby-podderzhki-s-tehnicheskimi-znaniyami-39820616.html,15000
Педагог дополнительного образования,https://ekaterinburg.superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-46547598.html,10000
Junoir backend developer (Python),https://hh.ru/vacancy/82411482,0
Учитель по программированию,https://zelenograd.superjob.ru/vakansii/uchitel-po-programmirovaniyu-45698481.html,0
Data Scientist,https://spb.superjob.ru/vakansii/data-scientist-46185193.html,0
DevOps Engineer,https://www.superjob.ru/vakansii/devops-engineer-34424249.html,0
Педагог дополнительного образования,https://spb.superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-46399099.html,0
Аналитик данных (Управление экспертизы и поддержки процессов),https://www.superjob.ru/vakansii/analitik-dannyh-46528961.html,0
